"externalId","designator","beginDate","EndDate"
"FA2023","FA2023","2023-08-28","2023-12-15"
"FA2023F1","FA2023","2023-08-28","2023-10-13"
"FA2023F2","FA2023","2023-10-18","2023-12-15"
"SP2023","SP2023","2023-01-17","2023-05-12"
"SP2023P1","SP2023","2023-01-17","2023-03-03"
"SP2023P2","SP2023","2023-03-06","2023-05-12"
"SU2023","SU2023","2023-05-22","2023-07-21"
"SU2023H1","SU2023","2023-05-22","2023-06-09"
"SU2023H2","SU2023","2023-05-22","2023-06-30"
"SU2023H3","SU2023","2023-06-12","2023-06-30"
"SU2023H4","SU2023","2023-06-12","2023-07-21"
"SU2023H5","SU2023","2023-07-03","2023-07-21"
